"donor","recipient","commitment_amount_usd_constant"
"Japan","Indonesia",33074.2
"Japan","Indonesia",32276
"Japan","Indonesia",30928.9
"Japan","Indonesia",30862.7
"Japan","Indonesia",30741.2
"Japan","Indonesia",29846.8
"Japan","Indonesia",29526.6
"Japan","Indonesia",29272.6
"Japan","Indonesia",28481.8
"Japan","Indonesia",26810.2
"Japan","Indonesia",26037.3
"Japan","Indonesia",25918.3
"Japan","Indonesia",25728.1
"Japan","Indonesia",24480.3
"Japan","Indonesia",24292.6
"Japan","Indonesia",23508.6
"Japan","Indonesia",23089
"Japan","Indonesia",21355.4
"Japan","Indonesia",21046.2
"Japan","Indonesia",21013.1
"Japan","Indonesia",20845.9
"Japan","Indonesia",20584.1
"Japan","Indonesia",20507.7
"Japan","Indonesia",20245.9
"Japan","Indonesia",19986.2
"Japan","Indonesia",19776.4
"Japan","Indonesia",19566.6
"Japan","Indonesia",19169.1
"Japan","Indonesia",19100.6
"Japan","Indonesia",17071.1
"Japan","Indonesia",17004.8
"Japan","Indonesia",16886.2
"Japan","Indonesia",16515.3
"Japan","Indonesia",16089.8
"Japan","Indonesia",15447.9
"Japan","Indonesia",15217.2
"Japan","Indonesia",14686
"Japan","Indonesia",13802.6
"Japan","Indonesia",13327.8
"Japan","Indonesia",12915.5
"Japan","Indonesia",12908.2
"Japan","Indonesia",12698.4
"Japan","Indonesia",11042.1
"Japan","Indonesia",10439.3
"Japan","Indonesia",10390.6
"Japan","Indonesia",9882.67
"Japan","Indonesia",9761.21
"Japan","Indonesia",9741.17
"Japan","Indonesia",9523.01
"Japan","Indonesia",8944.1
"Japan","Indonesia",8890.32
"Japan","Indonesia",8800.55
"Japan","Indonesia",8224.91
"Japan","Indonesia",7972.39
"Japan","Indonesia",7828.84
"Japan","Indonesia",7707.38
"Japan","Indonesia",7308.61
"Japan","Indonesia",6577.75
"Japan","Indonesia",5497.82
"Japan","Indonesia",4979.98
"Japan","Indonesia",4759.14
"Japan","Indonesia",4592.42
"Japan","Indonesia",4063.49
"Japan","Indonesia",3820.56
"Japan","Indonesia",3076.16
"Japan","Indonesia",3003.45
"Japan","Indonesia",2241.55
"Japan","Indonesia",2120.08
"Japan","Indonesia",1581.71
"Japan","Indonesia",1082.13
"Japan","Indonesia",861.761
"Japan","Indonesia",806.073
"Japan","Indonesia",618.357
"Japan","Indonesia",272.709
"Japan","Indonesia",242.926
"Japan","Indonesia",66.2526
"Japan","Indonesia",54.5418
"Japan","Indonesia",21.8167
