aiddata_id,year,donor,recipient,commitment_amount_usd_constant,coalesced_purpose_code,coalesced_purpose_name
94841506,2010,Australia,Pakistan,737779,72010,Emergency/distress relief
94899480,2010,Australia,Solomon Islands,1803870,15110,Public sector policy and adm. management
94934300,2010,Australia,Timor-Leste,295178,74010,Disaster prevention and preparedness
94689625,2010,Australia,"Bilateral, unspecified",36889,43010,Multisector aid
97384920,2010,Japan,Paraguay,44386200,21020,Road transport
94857545,2010,Australia,Papua New Guinea,250001,15110,Public sector policy and adm. management
94887825,2010,Australia,Samoa,184445,31182,Agricultural research
94752372,2010,Australia,Indonesia,73777.9,43010,Multisector aid
94858996,2010,Australia,Papua New Guinea,184445,15110,Public sector policy and adm. management
94805613,2010,Australia,Myanmar,2213340,72010,Emergency/distress relief
94867330,2010,Australia,Papua New Guinea,12894.5,12182,Medical research
94918523,2010,Australia,Sri Lanka,295112,21061,Storage
94706797,2010,Australia,Cambodia,13474.1,15250,Land mine clearance
94676736,2010,Australia,"Bilateral, unspecified",324623,52010,Food security programmes/food aid
94694014,2010,Australia,"Bilateral, unspecified",1328000,31220,Forestry development
94951507,2010,Australia,Viet Nam,147556,72040,Emergency food aid
94916828,2010,Australia,"South of Sahara, regional",368890,16064,Social mitigation of hiv/aids
94833189,2010,Australia,"Oceania, regional",3873050,15110,Public sector policy and adm. management
94922795,2010,Australia,Thailand,737779,11130,Teacher training
94636453,2010,Australia,"Africa, regional",221334,99810,Sectors not specified
94780987,2010,Australia,Kenya,7377.79,13040,Std control including hiv/aids
94829999,2010,Australia,"Oceania, regional",99600.2,31310,Fishing policy and admin. management
94689182,2010,Australia,"Bilateral, unspecified",44266.8,15250,Land mine clearance
94706216,2010,Australia,Kiribati,11066.7,15110,Public sector policy and adm. management
94814474,2010,Australia,"Oceania, regional",36.1512,12182,Medical research
94816205,2010,Australia,"Oceania, regional",485.282,15130,Legal and judicial development
94913195,2010,Australia,"South & Central Asia, regional",22505.5,43082,Research/scientific institutions
94702080,2010,Australia,Cambodia,234711,43010,Multisector aid
94653140,2010,Australia,"Bilateral, unspecified",3568.54,43010,Multisector aid
94798912,2010,Australia,Maldives,368890,41010,Environmental policy and admin. mgmt
96175654,2010,Japan,Haiti,11432000,73010,Reconstruction relief
94695349,2010,Australia,"Bilateral, unspecified",1770670,72010,Emergency/distress relief
94904001,2010,Australia,Solomon Islands,42182.8,99810,Sectors not specified
94902491,2010,Australia,Solomon Islands,70439.8,15150,Democratic participation and civil society
94906189,2010,Australia,Solomon Islands,4426680,31120,Agricultural development
94938133,2010,Australia,Tonga,18182.7,15110,Public sector policy and adm. management
94962345,2010,Australia,Zimbabwe,1254220,14020,Water supply & sanit. - large systems
94880887,2010,Australia,Philippines,138406,15111,Public finance management
94950896,2010,Australia,Viet Nam,368890,15110,Public sector policy and adm. management
94694380,2010,Australia,"Bilateral, unspecified",2385590,15110,Economic and development policy/planning
97454861,2010,Japan,Thailand,79707400,21020,Road transport
94875717,2010,Australia,Philippines,332001,15160,Human rights
94633518,2010,Australia,"Africa, regional",2213340,43010,Multisector aid
94905587,2010,Australia,Solomon Islands,1918230,31110,Agricultural policy & admin. mgmt
96194772,2010,Japan,Kyrgyz Republic,10624800,21020,Road transport
94746584,2010,Australia,Indonesia,1499160,74010,Disaster prevention and preparedness
95901024,2010,Sweden,Bolivia,211900,16062,Statistical capacity building
94755486,2010,Australia,Indonesia,24572.4,74010,Disaster prevention and preparedness
94663271,2010,Australia,"Bilateral, unspecified",7377.79,22010,Communications policy & admin. mgmt
94888957,2010,Australia,Samoa,22754.1,15110,Public sector policy and adm. management
94957322,2010,Australia,Viet Nam,3029150,14020,Water supply & sanit. - large systems
94909795,2010,Australia,Solomon Islands,18482.1,43010,Multisector aid
94670579,2010,Australia,"Bilateral, unspecified",188134,15110,Public sector policy and adm. management
94900324,2010,Australia,Solomon Islands,147556,22010,Communications policy & admin. mgmt
96193010,2010,Japan,Kiribati,567235,21040,Water transport
94823859,2010,Australia,"Oceania, regional",178325,43010,Multisector aid
94906626,2010,Australia,Solomon Islands,36889,13081,Personnel dvpt: pop. & repro health
94717888,2010,Australia,China,147556,12110,Health policy & admin. management
94755782,2010,Australia,Indonesia,3688900,16010,Social/welfare services
94641219,2010,Australia,"Asia, regional",737779,72010,Emergency/distress relief
94787000,2010,Australia,Kiribati,60104.7,43081,Multisector education/training
94876156,2010,Australia,Philippines,664002,43010,Multisector aid
94957371,2010,Australia,Viet Nam,22686700,31150,Agricultural inputs
94821756,2010,Australia,"Oceania, regional",388884,43010,Multisector aid
94712837,2010,Australia,China,737779,13040,Std control including hiv/aids
94929400,2010,Australia,Timor-Leste,0.00737779,99810,Sectors not specified
96142244,2010,Japan,"Congo, Dem. Rep.",7941290,12191,Medical services
94880014,2010,Australia,Philippines,1010710,43010,Multisector aid
94948053,2010,Australia,Viet Nam,265474,14030,Basic drinking water supply and basic sanitation
94919903,2010,Australia,Sri Lanka,4426680,73010,Reconstruction relief
94908143,2010,Australia,Solomon Islands,14755.6,74010,Disaster prevention and preparedness
94830428,2010,Australia,"Oceania, regional",8831540,43010,Multisector aid
94886541,2010,Australia,Samoa,438478,43010,Multisector aid
94815763,2010,Australia,"Oceania, regional",26828.3,15110,Public sector policy and adm. management
94825784,2010,Australia,"Oceania, regional",2514.83,15220,"Civilian peace-building, conflict prevention and resolution"
94678269,2010,Australia,"Bilateral, unspecified",0.00737779,15230,Post-conflict peace building (un)
94793931,2010,Australia,Malawi,1291110,16064,Social mitigation of hiv/aids
95901598,2010,Sweden,Bosnia-Herzegovina,3175270,32130,Sme development
94953218,2010,Australia,Viet Nam,51644.6,43010,Multisector aid
94729828,2010,Australia,Fiji,931959,15110,Public sector policy and adm. management
94912037,2010,Australia,"South & Central Asia, regional",148253,11430,Advanced tech. & managerial training
94787862,2010,Australia,Kiribati,207500,43010,Multisector aid
94900862,2010,Australia,Solomon Islands,147556,15151,Elections
94661230,2010,Australia,"Bilateral, unspecified",9812470,43081,Multisector education/training
